Year,Squad,Poss,xG,npxG,xA,Sh/90,SoT/90,npxG/Sh,G-xG,KP,PTF3,PPA,CrsPA,Prog,xGD/90,PSxG,PSxG/SoT,PSxG+/-,Standings
2017/18,Arsenal,61.5,1.66,1.56,1.21,15.66,5.92,0.1,0.26,11.6,46.2,13.3,1.76,48.5,0.35,1.36,0.33,0.02,6
2017/18,Bournemouth,47.8,1.13,1.07,0.78,12.34,4.05,0.09,0.06,8.97,25.6,8,1.95,32.5,-0.41,1.44,0.32,-0.16,12
2017/18,Brighton,43.7,0.96,0.82,0.6,10.08,2.95,0.08,-0.09,7.13,23.4,5.11,1.84,25.7,-0.35,1.43,0.31,0.11,15
2017/18,Burnley,43.9,0.91,0.91,0.61,10.11,3.47,0.09,0.02,7.34,24.6,5.68,2.29,24.5,-0.36,1.29,0.29,0.29,7
2017/18,Chelsea,55.4,1.46,1.4,1.05,15.97,5.61,0.09,0.11,12.4,38.3,10.9,2.18,45.2,0.6,0.91,0.3,-0.04,5
2017/18,Crystal Palace,45.3,1.39,1.2,0.79,12.29,3.5,0.1,-0.23,8.42,26.8,7.26,1.55,30.4,0.14,1.32,0.29,-0.08,11
2017/18,Everton,45.9,1.04,0.88,0.6,9.37,2.87,0.1,0.06,6.87,27.7,5.61,1.97,26.7,-0.28,1.52,0.31,-0.01,8
2017/18,Huddersfield,45.7,0.86,0.82,0.6,9.58,2.82,0.09,-0.2,6.53,23.5,4.97,2.05,25.2,-0.56,1.48,0.34,-0.02,16
2017/18,Leicester City,47.9,1.2,1.08,0.78,11.05,3.61,0.1,0.19,7.39,27.1,6.18,1.87,27.5,-0.07,1.29,0.3,-0.24,9
2017/18,Liverpool,60.5,1.85,1.79,1.3,16.79,6.03,0.11,0.31,12.5,44.8,12.9,2.08,49.3,0.98,0.95,0.32,-0.05,4
2017/18,Manchester City,71.1,2.11,1.95,1.49,17.5,6.76,0.11,0.6,12.9,53.8,14.8,1.89,53.1,1.5,0.63,0.28,-0.05,1
2017/18,Manchester Utd,54.8,1.5,1.44,1.11,13.63,4.5,0.11,0.26,9.97,34.8,9.76,2.16,38.7,0.46,0.92,0.24,0.24,2
2017/18,Newcastle Utd,41.7,1.12,1.1,0.72,11.92,4.05,0.09,-0.12,8.08,23.6,6.13,2.34,25.7,-0.23,1.31,0.32,0.15,10
2017/18,Southampton,51.5,1.06,1,0.77,11.68,3.63,0.09,-0.11,8.68,31.3,7.53,2.45,34.2,-0.15,1.32,0.31,-0.13,17
2017/18,Stoke City,41.3,0.98,0.92,0.69,10.18,3.21,0.09,-0.08,7.47,25.4,6.29,1.61,25.7,-0.6,1.63,0.28,-0.11,19
2017/18,Swansea City,45.2,0.8,0.78,0.48,8.87,2.61,0.09,-0.09,5.71,27.2,5.42,1.63,26.9,-0.74,1.54,0.29,0.12,18
2017/18,Tottenham,61.9,1.76,1.7,1.25,16.53,5.53,0.11,0.08,11.9,44.1,10.8,2.16,47.9,0.89,0.97,0.28,0.05,3
2017/18,Watford,49.6,1.18,1.06,0.73,11.71,3.42,0.09,-0.07,8.08,28.5,7.76,2.16,31.2,-0.28,1.47,0.34,-0.19,14
2017/18,West Brom,40.6,0.91,0.89,0.6,10.37,2.84,0.09,-0.09,7.16,24.5,6.32,2.76,24.5,-0.35,1.36,0.33,-0.09,20
2017/18,West Ham,45,0.98,0.9,0.63,9.79,3.37,0.09,0.28,7.18,24.7,6.21,1.97,25.1,-0.54,1.63,0.32,-0.13,13
2018/19,Arsenal,58,1.51,1.4,1.16,12.21,4.16,0.12,0.31,9.39,33.6,11.4,1.87,41,0.07,1.43,0.29,0.14,5
2018/19,Bournemouth,46.8,1.4,1.22,0.96,11.42,4,0.11,0.05,8.37,26.8,9.42,2.05,34.3,-0.07,1.48,0.32,-0.28,14
2018/19,Brighton,42.6,0.91,0.79,0.62,9.71,2.61,0.08,0.01,7.42,23.5,5.82,2.11,24.4,-0.58,1.51,0.32,-0.07,17
2018/19,Burnley,41.2,1.1,1.06,0.72,9.47,3,0.12,0.03,6.61,23.4,6.71,2.26,25.1,-0.56,1.57,0.29,-0.11,15
2018/19,Cardiff City,35.6,1.05,0.97,0.61,10.76,2.97,0.09,-0.18,7.03,19.9,5.03,1.55,21.2,-0.58,1.82,0.32,0,18
2018/19,Chelsea,62.8,1.54,1.44,1.2,15.71,4.97,0.09,0.07,12.4,46.5,12.3,2.13,48.9,0.61,1,0.3,-0.03,3
2018/19,Crystal Palace,45,1.32,1.11,0.83,12.87,3.61,0.09,-0.06,9.34,26.4,7.68,1.76,32.7,0.04,1.23,0.28,-0.14,12
2018/19,Everton,51.5,1.23,1.12,0.8,13,4.18,0.09,0.17,8.97,31.5,8.16,2.39,36.1,0.04,1.27,0.35,0.11,8
2018/19,Fulham,48.6,1.04,0.98,0.76,11.53,3.63,0.09,-0.17,8.82,28.8,6.53,1.66,32.2,-0.67,1.99,0.32,-0.09,19
2018/19,Huddersfield,47,0.76,0.74,0.52,10.53,3.11,0.07,-0.23,7.34,26.7,6.26,2.47,28.7,-0.91,1.66,0.33,-0.31,20
2018/19,Leicester City,51.1,1.3,1.17,0.9,13.37,4.58,0.09,-0.04,9.55,30.9,7.24,1.82,34.4,0.18,1.22,0.3,-0.04,9
2018/19,Liverpool,61.7,1.94,1.8,1.26,14.95,5.53,0.12,0.33,11,45.6,13.9,2.32,51,1.15,0.71,0.28,0.13,2
2018/19,Manchester City,67.8,2.16,2.07,1.61,17.89,6.5,0.12,0.24,13.3,55.2,15.6,1.66,53.8,1.49,0.71,0.32,0.1,1
2018/19,Manchester Utd,54.5,1.57,1.33,1.01,13.63,5.58,0.1,0.14,10,34.9,9.5,1.95,40.6,0.31,1.37,0.28,0.02,6
2018/19,Newcastle Utd,40.4,1.02,0.96,0.69,11.39,3.58,0.09,0.06,7.71,23.5,7.03,2.34,25.1,-0.36,1.33,0.34,0.09,13
2018/19,Southampton,43.9,1.2,1.1,0.72,12.71,4,0.09,-0.04,8.68,28.7,7.03,2.11,29.3,-0.25,1.44,0.31,-0.19,16
2018/19,Tottenham,58.9,1.46,1.38,0.97,14.03,4.89,0.1,0.27,10.1,37.8,10.1,2.58,39.6,0.27,1.34,0.32,0.39,4
2018/19,Watford,47.1,1.26,1.24,0.88,11.42,3.95,0.11,0.08,7.92,26.6,8.42,1.79,31.6,-0.17,1.49,0.32,0.02,11
2018/19,West Ham,48.7,1.29,1.19,0.86,11.5,3.92,0.11,0.06,8.26,27.4,7.66,1.58,30.9,-0.31,1.72,0.33,0.3,10
2018/19,Wolves,46.9,1.32,1.23,0.92,12.37,3.79,0.1,-0.11,8.68,29.4,7.24,2.03,31.8,0.3,1.08,0.28,-0.06,7
2019/20,Arsenal,54,1.29,1.23,0.79,10.55,3.79,0.12,0.18,7.5,29.5,8.42,1.84,32.6,-0.19,1.53,0.27,0.26,8
2019/20,Aston Villa,43.9,1.06,0.99,0.8,11.92,3.84,0.08,0,9.5,23.4,7.53,2.5,27.2,-0.68,1.57,0.32,-0.16,17
2019/20,Bournemouth,43.8,1.12,1.04,0.72,10.11,3.05,0.1,-0.12,7.03,23.7,6.79,1.39,28.1,-0.39,1.69,0.33,-0.02,18
2019/20,Brighton,52.2,1.08,1.04,0.7,12,3.61,0.09,-0.16,8.61,28.7,8.16,2.24,34.2,-0.35,1.43,0.32,0.09,15
2019/20,Burnley,41.4,1.16,1.09,0.72,10.11,3.26,0.11,-0.08,6.92,20.5,5.47,2.05,21.4,-0.12,1.24,0.27,-0.05,10
2019/20,Chelsea,60.7,1.75,1.62,1.22,16.29,5.53,0.1,0.06,11.9,39,11.3,2.76,40,0.75,1.09,0.35,-0.25,4
